Arabic,Transliteration,Translation,Last Reviewed,Interval,Ease Factor,Repetition
مِتْضَايِق,mitDaayiq,Annoyed,2025-09-27,1,2.5,0
مَزْعوج,maz3uuj,Annoyed,2025-09-27,1,2.5,0
خَالِة,khaaleh,Aunt (maternal)Aunt (paternal),2025-09-27,1,2.5,0
عَمِّة,3ammeh,Aunt (maternal)Aunt (paternal),2025-09-27,1,2.5,0
جَميل,jamiil,Beautiful,2025-09-27,1,2.5,0
حِلو,Hilou,Beautiful,2025-09-27,1,2.5,0
عَشان,3ashaan,Because,2025-09-27,1,2.5,0
لَإنّه,la’inno,Because,2025-09-27,1,2.5,0
حِسَاب,Hisaab,Bill (e.g. in a restaurant)Bill/ invoice,2025-09-27,1,2.5,0
فَاتُورَة,faatuura,Bill (e.g. in a restaurant)Bill/ invoice,2025-09-27,1,2.5,0
بِسّ,biss,Cat,2025-09-27,1,2.5,0
قِطّ,qiTT,Cat,2025-09-27,1,2.5,0
صوفَة,Soofah,Couch,2025-09-27,1,2.5,0
كَنَباي,kanabaay,Couch,2025-09-27,1,2.5,0
مُختَلِف,mukhtalif,DifferentDifferent from,2025-09-27,1,2.5,0
غَير,ghayr,DifferentDifferent from,2025-09-27,1,2.5,0
عِمِل,3imil,To doTo do/ make,2025-09-27,1,2.5,0
سَوَّى,sawwaa,To doTo do/ make,2025-09-27,1,2.5,0
دُكْتَور,doktoor,Doctor,2025-09-27,1,2.5,0
طَبِيْب,Tabiib,Doctor,2025-09-27,1,2.5,0
حَكِيْم,Hakiim,Doctor,2025-09-27,1,2.5,0
دَخَل,dakhal,To enter,2025-09-27,1,2.5,0
فات,faat,To enter,2025-09-27,1,2.5,0
حِجِّة,Hijjeh,Excuse,2025-09-27,1,2.5,0
عُذُر,3udhur,Excuse,2025-09-27,1,2.5,0
تَجْرُبَة,tajruba,Experience,2025-09-27,1,2.5,0
خِبْرَة,khibra,Experience,2025-09-27,1,2.5,0
أَهِل,ahil,Family,2025-09-27,1,2.5,0
عَيْلِة,3aileh,Family,2025-09-27,1,2.5,0
بْسُرْعَة,bsur3a,Fast (adv.)Fast (adj.),2025-09-27,1,2.5,0
سَريع,sarii3,Fast (adv.)Fast (adj.),2025-09-27,1,2.5,0
زَهْرَة,zahra,Flower,2025-09-27,1,2.5,0
وَرْد,ward,Flower,2025-09-27,1,2.5,0
لَ,la,For,2025-09-27,1,2.5,0
إلى,ilaa,For,2025-09-27,1,2.5,0
